2025-08-14 08:24:21 | 22.251.30.206:54038 -> 192.168.1.100:50918 | proto=tcp | len=100 | score=0.0000 | label=normal
2025-08-14 08:24:21 | 231.58.164.252:23732 -> 192.168.1.100:15827 | proto=tcp | len=118 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 172.17.0.2:33922 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 172.17.0.2:33922 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 192.168.65.7:53 -> 172.17.0.2:33922 | proto=udp | len=108 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 192.168.65.7:53 -> 172.17.0.2:33922 | proto=udp | len=96 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 172.17.0.2:0 -> 142.250.67.46:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:22 | 142.250.67.46:0 -> 172.17.0.2:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:22 | 172.17.0.2:56275 -> 192.168.65.7:53 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 192.168.65.7:53 -> 172.17.0.2:56275 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 45.219.199.117:19384 -> 192.168.1.100:35242 | proto=tcp | len=123 | score=0.0000 | label=normal
2025-08-14 08:24:22 | 167.168.17.69:2507 -> 192.168.1.100:62126 | proto=tcp | len=101 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 172.17.0.2:58937 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 172.17.0.2:58937 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 192.168.65.7:53 -> 172.17.0.2:58937 | proto=udp | len=108 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 192.168.65.7:53 -> 172.17.0.2:58937 | proto=udp | len=96 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 172.17.0.2:0 -> 142.250.67.46:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:23 | 142.250.67.46:0 -> 172.17.0.2:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:23 | 172.17.0.2:47194 -> 192.168.65.7:53 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 192.168.65.7:53 -> 172.17.0.2:47194 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 31.214.109.43:39169 -> 192.168.1.100:8063 | proto=tcp | len=79 | score=0.0000 | label=normal
2025-08-14 08:24:23 | 220.239.157.237:34055 -> 192.168.1.100:42503 | proto=tcp | len=153 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 164.118.170.240:16830 -> 192.168.1.100:17849 | proto=tcp | len=99 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 172.17.0.2:55547 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 172.17.0.2:55547 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 192.168.65.7:53 -> 172.17.0.2:55547 | proto=udp | len=96 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 192.168.65.7:53 -> 172.17.0.2:55547 | proto=udp | len=108 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 172.17.0.2:0 -> 142.250.67.46:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:24 | 142.250.67.46:0 -> 172.17.0.2:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:24 | 172.17.0.2:36473 -> 192.168.65.7:53 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 192.168.65.7:53 -> 172.17.0.2:36473 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:24 | 144.106.243.78:23547 -> 192.168.1.100:16700 | proto=tcp | len=84 | score=0.0000 | label=normal
2025-08-14 08:24:25 | 217.56.217.100:40580 -> 192.168.1.100:41388 | proto=tcp | len=114 | score=0.0000 | label=normal
2025-08-14 08:24:26 | 151.224.198.211:11894 -> 192.168.1.100:12062 | proto=tcp | len=151 | score=0.0000 | label=normal
2025-08-14 08:24:26 | 123.168.112.172:11215 -> 192.168.1.100:33046 | proto=tcp | len=126 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 172.17.0.2:48808 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 172.17.0.2:48808 -> 192.168.65.7:53 | proto=udp | len=70 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 192.168.65.7:53 -> 172.17.0.2:48808 | proto=udp | len=96 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 192.168.65.7:53 -> 172.17.0.2:48808 | proto=udp | len=108 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 172.17.0.2:0 -> 142.250.67.46:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:27 | 142.250.67.46:0 -> 172.17.0.2:0 | proto=icmp | len=98 | score=0.0123 | label=normal
2025-08-14 08:24:27 | 172.17.0.2:55024 -> 192.168.65.7:53 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 192.168.65.7:53 -> 172.17.0.2:55024 | proto=udp | len=86 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 14.5.21.200:60800 -> 192.168.1.100:41454 | proto=tcp | len=76 | score=0.0000 | label=normal
2025-08-14 08:24:27 | None:0 -> None:0 | proto=other | len=42 | score=0.0000 | label=normal
2025-08-14 08:24:27 | None:0 -> None:0 | proto=other | len=42 | score=0.0000 | label=normal
2025-08-14 08:24:27 | 189.154.59.169:30736 -> 192.168.1.100:63347 | proto=tcp | len=86 | score=0.0000 | label=normal
